2024-02-02 16:25:01 status half-configured openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:25:02 status installed openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:25:02 configure python3-lib2to3:all 3.9.2-1 <none>
2024-02-02 16:25:02 status unpacked python3-lib2to3:all 3.9.2-1
2024-02-02 16:25:02 status half-configured python3-lib2to3:all 3.9.2-1
2024-02-02 16:25:02 status installed python3-lib2to3:all 3.9.2-1
2024-02-02 16:25:02 configure python3-unidecode:all 1.2.0-1 <none>
2024-02-02 16:25:02 status unpacked python3-unidecode:all 1.2.0-1
2024-02-02 16:25:02 status half-configured python3-unidecode:all 1.2.0-1
2024-02-02 16:25:02 status installed python3-unidecode:all 1.2.0-1
2024-02-02 16:25:02 configure python3-websocket:all 0.57.0-1 <none>
2024-02-02 16:25:02 status unpacked python3-websocket:all 0.57.0-1
2024-02-02 16:25:02 status half-configured python3-websocket:all 0.57.0-1
2024-02-02 16:25:03 status installed python3-websocket:all 0.57.0-1
2024-02-02 16:25:03 configure python3-distutils:all 3.9.2-1 <none>
2024-02-02 16:25:03 status unpacked python3-distutils:all 3.9.2-1
2024-02-02 16:25:03 status half-configured python3-distutils:all 3.9.2-1
2024-02-02 16:25:03 status installed python3-distutils:all 3.9.2-1
2024-02-02 16:25:03 configure python3-docker:all 4.1.0-1.2 <none>
2024-02-02 16:25:03 status unpacked python3-docker:all 4.1.0-1.2
2024-02-02 16:25:03 status half-configured python3-docker:all 4.1.0-1.2
2024-02-02 16:25:03 status installed python3-docker:all 4.1.0-1.2
2024-02-02 16:25:03 configure python3-pretty-yaml:all 20.4.0-1 <none>
2024-02-02 16:25:03 status unpacked python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:25:03 status half-configured python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:25:03 status installed python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:25:03 configure openmediavault-compose:all 6.11.3 <none>
2024-02-02 16:25:03 status unpacked openmediavault-compose:all 6.11.3
2024-02-02 16:25:03 status half-configured openmediavault-compose:all 6.11.3
2024-02-02 16:25:05 status triggers-awaited openmediavault-compose:all 6.11.3
2024-02-02 16:25:05 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:25:05 trigproc openmediavault:all 6.9.12-3 <none>
2024-02-02 16:25:05 status half-configured openmediavault:all 6.9.12-3
2024-02-02 16:25:05 status installed openmediavault-compose:all 6.11.3
2024-02-02 16:25:06 status installed openmediavault:all 6.9.12-3
2024-02-02 16:25:16 startup archives unpack
2024-02-02 16:25:16 upgrade openmediavault-compose:all 6.11.3 6.11.3
2024-02-02 16:25:16 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:25:16 status triggers-awaited openmediavault-compose:all 6.11.3
2024-02-02 16:25:16 status half-configured openmediavault-compose:all 6.11.3
2024-02-02 16:25:16 status unpacked openmediavault-compose:all 6.11.3
2024-02-02 16:25:16 status half-installed openmediavault-compose:all 6.11.3
2024-02-02 16:25:17 status unpacked openmediavault-compose:all 6.11.3
2024-02-02 16:25:17 startup packages configure
